"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"357","NCAA, West - First Round","2016","3","18",68,82,15,"Cal State Bakersfield",2,"Oklahoma"
"358","NCAA, Midwest - First Round","2016","3","18",90,81,15,"Middle Tennessee",2,"Michigan State"
"359","NCAA, South - First Round","2016","3","18",56,86,15,"UNC Asheville",2,"Villanova"
"360","NCAA, East - First Round","2016","3","18",53,71,15,"Weber State",2,"Xavier"
"361","NCAA, West - First Round","2016","3","18",65,92,14,"Green Bay",3,"Texas AM"
"362","NCAA, East - First Round","2016","3","18",70,56,14,"Stephen F Austin",3,"West Virginia"
"363","NCAA, South - First Round","2016","3","18",77,66,13,"Hawaii",4,"California"
"364","NCAA, South - First Round","2016","3","18",74,79,12,"South Dakota State",5,"Maryland"
"365","NCAA, East - First Round","2016","3","18",63,70,11,"Michigan",6,"Notre Dame"
"366","NCAA, West - First Round","2016","3","18",75,72,11,"Northern Iowa",6,"Texas"
"367","NCAA, East - First Round","2016","3","18",43,47,10,"Pitt",7,"Wisconsin"
"368","NCAA, Midwest - First Round","2016","3","18",70,51,10,"Syracuse",7,"Dayton"
"369","NCAA, South - First Round","2016","3","18",70,72,10,"Temple",7,"Iowa"
"370","NCAA, West - First Round","2016","3","18",75,67,10,"VCU",7,"Oregon State"
"371","NCAA, West - First Round","2016","3","18",76,78,9,"Cincinnati",8,"St Josephs"
"372","NCAA, Midwest - Second Round","2016","3","19",69,77,9,"Butler",1,"Virginia"
"373","NCAA, South - Second Round","2016","3","19",61,73,9,"UConn",1,"Kansas"
"374","NCAA, East - Second Round","2016","3","19",66,85,9,"Providence",1,"UNC"
"375","NCAA, Midwest - Second Round","2016","3","19",82,59,11,"Gonzaga",3,"Utah"
"376","NCAA, South - Second Round","2016","3","19",57,65,11,"Wichita State",3,"Miami FL"
"377","NCAA, Midwest - Second Round","2016","3","19",61,78,12,"Little Rock",4,"Iowa State"
"378","NCAA, East - Second Round","2016","3","19",73,67,5,"Indiana",4,"Kentucky"
"379","NCAA, West - Second Round","2016","3","19",64,71,12,"Yale",4,"Duke"
"380","NCAA, West - Second Round","2016","3","20",64,69,8,"St Josephs",1,"Oregon"
"381","NCAA, South - Second Round","2016","3","20",68,87,7,"Iowa",2,"Villanova"
"382","NCAA, West - Second Round","2016","3","20",81,85,10,"VCU",2,"Oklahoma"
"383","NCAA, East - Second Round","2016","3","20",66,63,7,"Wisconsin",2,"Xavier"
"384","NCAA, West - Second Round","2016","3","20",88,92,11,"Northern Iowa",3,"Texas AM"
"385","NCAA, South - Second Round","2016","3","20",60,73,13,"Hawaii",5,"Maryland"
"386","NCAA, East - Second Round","2016","3","20",75,76,14,"Stephen F Austin",6,"Notre Dame"
"387","NCAA, Midwest - Second Round","2016","3","20",50,75,15,"Middle Tennessee",10,"Syracuse"
"388","NCAA, West - Regional Semifinal","2016","3","24",68,82,4,"Duke",1,"Oregon"
"389","NCAA, South - Regional Semifinal","2016","3","24",63,79,5,"Maryland",1,"Kansas"
"390","NCAA, South - Regional Semifinal","2016","3","24",69,92,3,"Miami FL",2,"Villanova"
"391","NCAA, West - Regional Semifinal","2016","3","24",63,77,3,"Texas AM",2,"Oklahoma"
"392","NCAA, East - Regional Semifinal","2016","3","25",86,101,5,"Indiana",1,"UNC"
"393","NCAA, Midwest - Regional Semifinal","2016","3","25",71,84,4,"Iowa State",1,"Virginia"
"394","NCAA, East - Regional Semifinal","2016","3","25",56,61,7,"Wisconsin",6,"Notre Dame"
"395","NCAA, Midwest - Regional Semifinal","2016","3","25",60,63,11,"Gonzaga",10,"Syracuse"
"396","NCAA, West - Regional Final","2016","3","26",80,68,2,"Oklahoma",1,"Oregon"
"397","NCAA, South - Regional Final","2016","3","26",64,59,2,"Villanova",1,"Kansas"
"398","NCAA, East - Regional Final","2016","3","27",74,88,6,"Notre Dame",1,"UNC"
"399","NCAA, Midwest - Regional Final","2016","3","27",68,62,10,"Syracuse",1,"Virginia"
"400","NCAA, National - National Semifinal","2016","4","2",66,83,10,"Syracuse",1,"UNC"
"401","NCAA, National - National Semifinal","2016","4","2",95,51,2,"Villanova",2,"Oklahoma"
"402","NCAA, National - National Final","2016","4","4",77,74,2,"Villanova",1,"UNC"
"403","NCAA, South - First Four","2017","3","14",88,95,11,"Wake Forest",11,"Kansas State"
"404","NCAA, East - First Four","2017","3","14",66,67,16,"New Orleans",16,"Mount St Marys"
"405","NCAA, East - First Four","2017","3","15",75,71,11,"USC",11,"Providence"
"406","NCAA, Midwest - First Four","2017","3","15",67,63,16,"UCDavis",16,"North Carolina Central"
"407","NCAA, East - First Round","2017","3","16",56,76,16,"Mount St Marys",1,"Villanova"
"408","NCAA, West - First Round","2017","3","16",46,66,16,"South Dakota State",1,"Gonzaga"
"409","NCAA, West - First Round","2017","3","16",82,100,15,"North Dakota",2,"Arizona"
"410","NCAA, West - First Round","2017","3","16",80,86,14,"Florida Gulf Coast",3,"Florida State"
"411","NCAA, West - First Round","2017","3","16",80,86,13,"Bucknell",4,"West Virginia"
"412","NCAA, East - First Round","2017","3","16",65,80,13,"ETSU",4,"Florida"
"413","NCAA, Midwest - First Round","2017","3","16",70,80,13,"Vermont",4,"Purdue"
"414","NCAA, South - First Round","2017","3","16",64,76,13,"Winthrop",4,"Butler"
"415","NCAA, South - First Round","2017","3","16",81,72,12,"Middle Tennessee",5,"Minnesota"
"416","NCAA, Midwest - First Round","2017","3","16",73,84,12,"Nevada",5,"Iowa State"
"417","NCAA, East - First Round","2017","3","16",71,76,12,"UNC Wilmington",5,"Virginia"
"418","NCAA, West - First Round","2017","3","16",58,60,12,"Princeton",5,"Notre Dame"
"419","NCAA, West - First Round","2017","3","16",76,65,11,"Xavier",6,"Maryland"
"420","NCAA, West - First Round","2017","3","16",77,85,10,"VCU",7,"Saint Marys"
"421","NCAA, West - First Round","2017","3","16",66,68,9,"Vanderbilt",8,"Northwestern"
"422","NCAA, East - First Round","2017","3","16",74,84,9,"Virginia Tech",8,"Wisconsin"
"423","NCAA, Midwest - First Round","2017","3","17",62,100,16,"UCDavis",1,"Kansas"
"424","NCAA, South - First Round","2017","3","17",64,103,16,"Texas Southern",1,"UNC"
"425","NCAA, Midwest - First Round","2017","3","17",63,78,15,"Jacksonville State",2,"Louisville"
"426","NCAA, South - First Round","2017","3","17",70,79,15,"Northern Kentucky",2,"Kentucky"
"427","NCAA, East - First Round","2017","3","17",65,87,15,"Troy",2,"Duke"
"428","NCAA, Midwest - First Round","2017","3","17",77,93,14,"Iona",3,"Oregon"
"429","NCAA, South - First Round","2017","3","17",80,97,14,"Kent State",3,"UCLA"
"430","NCAA, East - First Round","2017","3","17",73,91,14,"New Mexico State",3,"Baylor"
"431","NCAA, South - First Round","2017","3","17",61,75,11,"Kansas State",6,"Cincinnati"
"432","NCAA, Midwest - First Round","2017","3","17",84,72,11,"Rhode Island",6,"Creighton"
"433","NCAA, East - First Round","2017","3","17",66,65,11,"USC",6,"SMU"
"434","NCAA, East - First Round","2017","3","17",73,93,10,"Marquette",7,"South Carolina"
"435","NCAA, Midwest - First Round","2017","3","17",91,92,10,"Oklahoma State",7,"Michigan"
"436","NCAA, South - First Round","2017","3","17",64,58,10,"Wichita State",7,"Dayton"
"437","NCAA, Midwest - First Round","2017","3","17",78,58,9,"Michigan State",8,"Miami FL"
"438","NCAA, South - First Round","2017","3","17",71,77,9,"Seton Hall",8,"Arkansas"
"439","NCAA, West - Second Round","2017","3","18",73,79,8,"Northwestern",1,"Gonzaga"
"440","NCAA, East - Second Round","2017","3","18",65,62,8,"Wisconsin",1,"Villanova"
"441","NCAA, West - Second Round","2017","3","18",60,69,7,"Saint Marys",2,"Arizona"
"442","NCAA, West - Second Round","2017","3","18",91,66,11,"Xavier",3,"Florida State"
